State,County,County Code,Deaths,Population,Crude Rate
TN,"Montgomery County, TN",47125,22,172331,12.77
TN,"Rutherford County, TN",47149,32,262604,12.19
TN,"Shelby County, TN",47157,164,927644,17.68
TN,"Washington County, TN",47179,20,122979,16.26
TX,"Bell County, TX",48027,58,310235,18.7
TX,"Bexar County, TX",48029,156,1714773,9.1
TX,"Brazoria County, TX",48039,26,313166,8.3
TX,"Collin County, TX",48085,46,782341,5.88
TX,"Dallas County, TX",48113,280,2368139,11.82
TX,"Denton County, TX",48121,50,662614,7.55
TX,"El Paso County, TX",48141,38,800647,4.75
TX,"Fort Bend County, TX",48157,45,585375,7.69
TX,"Galveston County, TX",48167,29,291309,9.96
TX,"Grayson County, TX",48181,22,120877,18.2
TX,"Gregg County, TX",48183,26,121730,21.36
TX,"Harris County, TX",48201,500,4092459,12.22
TX,"Hidalgo County, TX",48215,39,774769,5.03
TX,"Jefferson County, TX",48245,35,252273,13.87
TX,"Johnson County, TX",48251,29,150934,19.21
TX,"Lubbock County, TX",48303,27,278831,9.68
TX,"McLennan County, TX",48309,22,234906,9.37
TX,"Montgomery County, TX",48339,45,455746,9.87
TX,"Nueces County, TX",48355,39,340223,11.46
TX,"Smith County, TX",48423,28,209714,13.35
TX,"Tarrant County, TX",48439,190,1809034,10.5
TX,"Travis County, TX",48453,90,1024266,8.79
TX,"Wichita County, TX",48485,20,131500,15.21
TX,"Williamson County, TX",48491,30,422679,7.1
UT,"Davis County, UT",49011,25,306479,8.16
UT,"Salt Lake County, UT",49035,120,1029655,11.65
UT,"Utah County, UT",49049,31,516564,6
UT,"Washington County, UT",49053,22,138115,15.93
UT,"Weber County, UT",49057,29,231236,12.54
VA,"Chesterfield County, VA",51041,28,316236,8.85
VA,"Fairfax County, VA",51059,51,1081726,4.71
VA,"Henrico County, VA",51087,27,306935,8.8
VA,"Prince William County, VA",51153,26,402002,6.47
VA,"Chesapeake city, VA",51550,23,222209,10.35
VA,"Hampton city, VA",51650,21,137436,15.28
VA,"Newport News city, VA",51700,28,180719,15.49
VA,"Norfolk city, VA",51710,41,242803,16.89
VA,"Richmond city, VA",51760,41,204214,20.08
VA,"Virginia Beach city, VA",51810,48,437994,10.96
WA,"Clark County, WA",53011,38,425363,8.93
WA,"King County, WA",53033,119,1931249,6.16
WA,"Kitsap County, WA",53035,23,251133,9.16
WA,"Pierce County, WA",53053,79,795225,9.93
WA,"Snohomish County, WA",53061,60,713335,8.41
WA,"Spokane County, WA",53063,44,471221,9.34
WA,"Yakima County, WA",53077,36,243231,14.8
WV,"Kanawha County, WV",54039,40,193063,20.72
WI,"Dane County, WI",55025,21,488073,4.3
WI,"Milwaukee County, WI",55079,126,947735,13.29
WI,"Waukesha County, WI",55133,23,389891,5.9
